"ID";"Persoonskenmerken";"Marges";"Regio";"StressDEenOfMeerFactZeerVaak_13"
"0";"T009002";"MW00000";"NL01  ";"    44.5"
"1";"T009002";"MW00000";"GM1680";"    49.2"
"2";"T009002";"MW00000";"GM0358";"       ."
"3";"T009002";"MW00000";"GM0197";"    41.2"
"4";"T009002";"MW00000";"GM0059";"       ."
"5";"T009002";"MW00000";"GM0482";"    43.3"
"6";"T009002";"MW00000";"GM0613";"    47.0"
"7";"T009002";"MW00000";"GM0361";"    50.3"
"8";"T009002";"MW00000";"GM0141";"    44.0"
"9";"T009002";"MW00000";"GM0034";"    50.4"
"10";"T009002";"MW00000";"GM0484";"    45.9"
"11";"T009002";"MW00000";"GM1723";"    36.9"
"12";"T009002";"MW00000";"GM1959";"    36.6"
"13";"T009002";"MW00000";"GM0060";"       ."
"14";"T009002";"MW00000";"GM0307";"    48.5"
"15";"T009002";"MW00000";"GM0362";"       ."
"16";"T009002";"MW00000";"GM0363";"       ."
"17";"T009002";"MW00000";"GM0200";"    47.0"
"18";"T009002";"MW00000";"GM0003";"       ."
"19";"T009002";"MW00000";"GM0202";"       ."
"20";"T009002";"MW00000";"GM0106";"    47.3"
"21";"T009002";"MW00000";"GM0743";"       ."
"22";"T009002";"MW00000";"GM0744";"    38.2"
"23";"T009002";"MW00000";"GM0308";"    48.0"
"24";"T009002";"MW00000";"GM0489";"    51.8"
"25";"T009002";"MW00000";"GM0203";"       ."
"26";"T009002";"MW00000";"GM0888";"    46.7"
"27";"T009002";"MW00000";"GM1954";"    40.1"
"28";"T009002";"MW00000";"GM0370";"    43.5"
"29";"T009002";"MW00000";"GM0889";"    43.2"
"30";"T009002";"MW00000";"GM1945";"    40.6"
"31";"T009002";"MW00000";"GM1724";"       ."
"32";"T009002";"MW00000";"GM0893";"       ."
"33";"T009002";"MW00000";"GM0373";"    52.6"
"34";"T009002";"MW00000";"GM0748";"    46.2"
"35";"T009002";"MW00000";"GM1859";"    38.1"
"36";"T009002";"MW00000";"GM1721";"       ."
"37";"T009002";"MW00000";"GM0753";"       ."
"38";"T009002";"MW00000";"GM0209";"    47.7"
"39";"T009002";"MW00000";"GM0375";"    49.5"
"40";"T009002";"MW00000";"GM0310";"    47.2"
"41";"T009002";"MW00000";"GM1728";"       ."
"42";"T009002";"MW00000";"GM0376";"    54.2"
"43";"T009002";"MW00000";"GM0377";"    52.5"
"44";"T009002";"MW00000";"GM1901";"    42.3"
"45";"T009002";"MW00000";"GM0755";"       ."
"46";"T009002";"MW00000";"GM1681";"    46.1"
"47";"T009002";"MW00000";"GM0147";"    42.9"
"48";"T009002";"MW00000";"GM0654";"    43.1"
"49";"T009002";"MW00000";"GM0756";"       ."
"50";"T009002";"MW00000";"GM0757";"       ."
"51";"T009002";"MW00000";"GM0758";"    44.7"
"52";"T009002";"MW00000";"GM0501";"    43.4"
"53";"T009002";"MW00000";"GM1876";"    39.4"
"54";"T009002";"MW00000";"GM0213";"    47.6"
"55";"T009002";"MW00000";"GM0899";"    46.0"
"56";"T009002";"MW00000";"GM0312";"    41.2"
"57";"T009002";"MW00000";"GM0313";"    40.8"
"58";"T009002";"MW00000";"GM0214";"    43.2"
"59";"T009002";"MW00000";"GM0502";"    53.6"
"60";"T009002";"MW00000";"GM0383";"    45.9"
"61";"T009002";"MW00000";"GM0109";"    48.1"
"62";"T009002";"MW00000";"GM1706";"       ."
"63";"T009002";"MW00000";"GM1684";"       ."
"64";"T009002";"MW00000";"GM0216";"    46.5"
"65";"T009002";"MW00000";"GM0148";"    32.7"
"66";"T009002";"MW00000";"GM1891";"       ."
"67";"T009002";"MW00000";"GM0503";"       ."
"68";"T009002";"MW00000";"GM0010";"       ."
"69";"T009002";"MW00000";"GM0762";"       ."
"70";"T009002";"MW00000";"GM0150";"    44.4"
"71";"T009002";"MW00000";"GM0384";"       ."
"72";"T009002";"MW00000";"GM1774";"    33.7"
"73";"T009002";"MW00000";"GM0221";"       ."
"74";"T009002";"MW00000";"GM0222";"    40.5"
"75";"T009002";"MW00000";"GM0766";"       ."
"76";"T009002";"MW00000";"GM0505";"    47.2"
"77";"T009002";"MW00000";"GM0498";"    40.0"
"78";"T009002";"MW00000";"GM1719";"    45.3"
"79";"T009002";"MW00000";"GM0303";"    46.2"
"80";"T009002";"MW00000";"GM0225";"    37.8"
"81";"T009002";"MW00000";"GM0226";"       ."
"82";"T009002";"MW00000";"GM1711";"    40.7"
"83";"T009002";"MW00000";"GM0385";"    36.9"
"84";"T009002";"MW00000";"GM0228";"       ."
"85";"T009002";"MW00000";"GM0317";"    45.8"
"86";"T009002";"MW00000";"GM0770";"       ."
"87";"T009002";"MW00000";"GM1903";"    42.9"
"88";"T009002";"MW00000";"GM0772";"       ."
"89";"T009002";"MW00000";"GM0230";"    37.8"
"90";"T009002";"MW00000";"GM0114";"    43.0"
"91";"T009002";"MW00000";"GM0388";"    53.2"
"92";"T009002";"MW00000";"GM0153";"    47.3"
"93";"T009002";"MW00000";"GM0232";"    40.9"
"94";"T009002";"MW00000";"GM0233";"    41.5"
"95";"T009002";"MW00000";"GM0777";"    43.5"
"96";"T009002";"MW00000";"GM1940";"       ."
"97";"T009002";"MW00000";"GM0779";"    45.8"
"98";"T009002";"MW00000";"GM1771";"       ."
"99";"T009002";"MW00000";"GM1652";"       ."
"100";"T009002";"MW00000";"GM0907";"       ."
"101";"T009002";"MW00000";"GM0784";"       ."
"102";"T009002";"MW00000";"GM1924";"    36.2"
"103";"T009002";"MW00000";"GM0664";"    43.1"
"104";"T009002";"MW00000";"GM0785";"       ."
"105";"T009002";"MW00000";"GM1942";"    50.2"
"106";"T009002";"MW00000";"GM0512";"       ."
"107";"T009002";"MW00000";"GM0513";"    41.5"
"108";"T009002";"MW00000";"GM0786";"       ."
"109";"T009002";"MW00000";"GM0518";"       ."
"110";"T009002";"MW00000";"GM0014";"    50.2"
"111";"T009002";"MW00000";"GM1729";"    45.3"
"112";"T009002";"MW00000";"GM0158";"       ."
"113";"T009002";"MW00000";"GM0788";"       ."
"114";"T009002";"MW00000";"GM0392";"    50.4"
"115";"T009002";"MW00000";"GM0394";"    51.5"
"116";"T009002";"MW00000";"GM1655";"    42.5"
"117";"T009002";"MW00000";"GM0160";"    32.8"
"118";"T009002";"MW00000";"GM0243";"    48.1"
"119";"T009002";"MW00000";"GM0523";"    37.3"
"120";"T009002";"MW00000";"GM0072";"       ."
"121";"T009002";"MW00000";"GM0244";"    45.7"
"122";"T009002";"MW00000";"GM0396";"    47.9"
"123";"T009002";"MW00000";"GM0397";"    52.2"
"124";"T009002";"MW00000";"GM0246";"    43.0"
"125";"T009002";"MW00000";"GM0074";"       ."
"126";"T009002";"MW00000";"GM0398";"    44.9"
"127";"T009002";"MW00000";"GM0917";"    47.2"
"128";"T009002";"MW00000";"GM1658";"       ."
"129";"T009002";"MW00000";"GM0399";"    46.9"
"130";"T009002";"MW00000";"GM0400";"    46.4"
"131";"T009002";"MW00000";"GM0163";"    37.3"
"132";"T009002";"MW00000";"GM0530";"    47.1"
"133";"T009002";"MW00000";"GM0794";"       ."
